id,class,fck,fck_cube,fctm,ecm,fcd,fctd,ro_min,ro_w_min
1,C12/15,12,15,1.57,27085,8,0.73,0.13,0.055
2,C16/20,16,20,1.9,28608,10.67,0.89,0.13,0.064
3,C20/25,20,25,2.21,29962,13.33,1.03,0.13,0.072
4,C25/30,25,30,2.56,31476,16.67,1.2,0.133,0.08
5,C30/37,30,37,2.9,32837,20,1.35,0.151,0.088
6,C35/45,35,45,3.21,34077,23.33,1.5,0.167,0.095
7,C40/50,40,50,3.51,35220,26.67,1.64,0.182,0.101
8,C45/55,45,55,3.8,36283,30,1.77,0.197,0.107
9,C50/60,50,60,4.07,37278,33.33,1.9,0.212,0.113
10,C55/67,55,67,4.21,38214,36.67,1.97,0.219,0.119
11,C60/75,60,75,4.35,39100,40,2.03,0.226,0.124
12,C70/85,70,85,4.61,40743,46.67,2.15,0.24,0.134
13,C80/95,80,95,4.84,42244,53.33,2.26,0.252,0.143
14,C90/105,90,105,5.04,43631,60,2.35,0.262,0.152
